"company","job description","required qualification","location"
"Mahanadi Coalfields Limited","Procurement Trainee. 12-month office role. Assist the procurement department with tender processing,  vendor data management,  and creating purchase orders.","B.Com or Diploma in Materials Management. Must meet PMIS age and income criteria.","Sambalpur,  Odisha"
"Shriram Finance Limited","Audit Support Trainee (Branch). 12-month role. Travel with audit teams to branches to verify documents,  cash,  and compliance.","B.Com (Accounts/Finance) (non-premier institute). Willing to travel. Must meet PMIS eligibility.","Bengaluru,  Karnataka"
"Bandhan Bank Limited","Loan Processing Trainee. 12-month back-office role. Verify documents for micro-loans,  enter data into the system,  and check compliance.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Ambuja Cements Limited","Electrical Maintenance Trainee. 12-month hands-on role. Assist electricians in maintaining motors,  drives,  and instrumentation at the cement plant.","ITI (Electrician) or Diploma in Electrical Engineering. Must meet PMIS age and income criteria.","Bhatapara,  Chhattisgarh"
"Oil and Natural Gas Corporation Limited","Chemical Lab Trainee. 12-month lab role. Assist in testing crude oil,  gas,  and water samples. Prepare reagents and maintain records.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Ankleshwar,  Gujarat"
"Maruti Suzuki India Limited","Vehicle Logistics Trainee. 12-month role managing the vehicle yard. Coordinate dispatch of new cars to dealers,  maintain records,  and ensure vehicle safety.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Manesar,  Haryana"
"HDFC Bank Limited","Customer Service Trainee (Branch). 12-month customer-facing role. Handle queries,  assist with deposits/withdrawals,  and explain banking products.","Class 12 Pass or B.A. (any discipline). Good communication skills. Must meet PMIS eligibility.","Patna,  Bihar"
"Reliance Industries Limited","Finance Trainee (Accounts). 12-month office role at the refinery complex. Assist with data entry,  voucher processing,  and supporting the accounts team.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Jamnagar,  Gujarat"
"Infosys Limited","BPO Trainee (Customer Support). 12-month role handling customer queries (voice) for a UK client. Learn communication skills and process protocols.","B.A.,  B.Sc,  or B.Com graduate (any discipline,  non-premier). Excellent English required. Must meet PMIS eligibility.","Pune,  Maharashtra"
"Tata Steel Limited","Mechanical Maintenance Trainee (Rolling Mill). 12-month hands-on role. Assist in the maintenance and repair of rolling mill equipment.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Kalinganagar,  Odisha"
"Larsen and Toubro Limited","Quality Assurance Trainee (Civil). 12-month on-site role. Assist in testing construction materials (concrete,  steel),  maintain test records,  and ensure quality.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"ICICI Bank Limited","HR Trainee (Recruitment Support). 12-month role supporting the HR team. Schedule interviews,  coordinate with candidates,  and manage documentation.","BBA (HR) graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Hindustan Unilever Limited","Supply Chain Trainee (Planning). 12-month office role. Assist in demand planning data entry,  coordinating with factories,  and preparing reports.","B.Com or BBA (Supply Chain) (non-premier institute). Must meet PMIS age and income criteria.","Mumbai,  Maharashtra"
"Wipro Limited","Finance Trainee (BPO). 12-month role in the F&A BPO division. Learn accounts payable/receivable processes for a client. Perform data entry and validation.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"Mahindra and Mahindra Limited","Manufacturing Trainee (Assembly). 12-month shop-floor role. Learn to assemble UVs (e.g.,  Scorpio,  XUV). Follow standard operating procedures.","ITI (Fitter/Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS eligibility.","Nashik,  Maharashtra"
"GAIL (India) Limited","Operations Trainee (LPG Plant). 12-month hands-on role at an LPG recovery plant. Monitor plant parameters,  assist in operations,  and support safety checks.","Diploma in Chemical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Usar,  Maharashtra"
"Bajaj Auto Limited","Quality Inspection Trainee (Motorcycle). 12-month role. Inspect finished motorcycles for quality,  functional checks,  and aesthetic defects.","Diploma in Automobile/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Chakan,  Maharashtra"
"NTPC Limited","Mechanical Maintenance Trainee. 12-month hands-on role at the power plant. Assist in maintenance of turbines,  boilers,  and auxiliary equipment.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Dadri,  Uttar Pradesh"
"Axis Bank Limited","Branch Operations Trainee (Cash). 12-month role handling cash transactions,  managing ATM cash,  and ensuring compliance.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","New Delhi,  Delhi"
"Indian Oil Corporation Limited","Operations Trainee (Terminal). 12-month role at a petroleum storage terminal. Learn inventory management,  tanker loading,  and safety protocols.","Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Hindustan Petroleum Corporation Limited","Operations Trainee (Lube Blending Plant). 12-month hands-on role. Learn lube blending processes,  quality control testing,  and packaging.","Diploma in Chemical/Mechanical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Mumbai,  Maharashtra"
"Reliance Retail Limited","Store Operations Trainee (Reliance Fresh). 12-month role in a grocery store. Learn inventory,  customer service,  and cash counter operations.","Class 12 Pass. Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"JSW Steel Limited","Quality Control Lab Trainee. 12-month lab role. Test samples of raw materials and finished steel for chemical and physical properties.","B.Sc (Chemistry/Physics) or Diploma in Metallurgy. Must meet PMIS age and income criteria.","Salem,  Tamil Nadu"
"Power Grid Corporation of India Limited","Civil Maintenance Trainee. 12-month role supporting maintenance of substation buildings,  towers,  and infrastructure.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Jammu,  Jammu and Kashmir"
"ITC Limited","Operations Trainee (Tobacco). 12-month role at a tobacco processing plant. Learn leaf processing,  machine operations,  and quality checks.","Diploma in Mechanical Engineering or B.Sc (any discipline). Must meet PMIS age and income criteria.","Munger,  Bihar"
"Tata Consultancy Services Limited","Operations Trainee (BPO). 12-month back-office role. Perform data processing tasks for an international client (e.g.,  banking,  retail).","B.A.,  B.Sc,  or B.Com graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Gandhinagar,  Gujarat"
"HCL Technologies Limited","IT Helpdesk Trainee (Voice). 12-month role providing technical support to customers via phone. Troubleshoot hardware/software issues.","B.Sc (IT) or BCA (non-premier institute). Good communication skills. Must meet PMIS eligibility.","Noida,  Uttar Pradesh"
"Muthoot Finance Limited","Branch Operations Trainee. 12-month role. Learn customer service,  gold appraisal,  and documentation for financial products.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Vijayawada,  Andhra Pradesh"
"Oil India Limited","Operations Trainee (Production). 12-month field role. Assist in monitoring oil/gas wells,  collecting data,  and supporting field operations.","Diploma in Petroleum/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Duliajan,  Assam"
"Steel Authority of India Limited","Finance Trainee (Admin). 12-month office role at the plant. Assist the finance team with data entry,  bill processing,  and voucher management.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Rourkela,  Odisha"
"Kotak Mahindra Bank Limited","Customer Service Trainee (Branch). 12-month customer-facing role. Handle queries,  assist with transactions,  and explain banking products.","B.A. or B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Tech Mahindra Limited","Operations Trainee (Back-Office). 12-month role supporting a client process (e.g.,  data validation,  order processing). Requires computer skills.","B.A. or B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chandigarh,  Punjab"
"Northern Coalfields Limited","Safety Trainee. 12-month on-site role. Assist the safety department in open-cast mines. Conduct inspections,  training,  and maintain records.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age and income criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Stores Trainee. 12-month role in the plant stores. Manage inventory of spare parts,  issue materials,  and maintain records.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Hirmi,  Chhattisgarh"
"Hero MotoCorp Limited","Maintenance Trainee (Mechanical). 12-month hands-on role. Assist in preventive and breakdown maintenance of assembly line machinery.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Haridwar,  Uttarakhand"
"NHPC Limited","Electrical Maintenance Trainee. 12-month hands-on role at a hydro-power station. Assist in maintenance of generators,  switchgear,  and control panels.","Diploma in Electrical Engineering (EEE). Must meet PMIS age and income criteria.","Baira Siul,  Himachal Pradesh"
"Asian Paints Limited","Lab Trainee (R&D). 12-month role assisting in the R&D lab. Prepare paint formulations,  conduct tests,  and record data.","B.Sc (Chemistry) (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"IndusInd Bank Ltd","Trade Finance Trainee. 12-month back-office role. Learn to process export/import documents and letters of credit. Data entry and compliance checking.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Samsung India Electronics Private Limited","Finance Trainee (Accounts). 12-month office role. Assist with processing invoices,  data entry,  and supporting the accounts team.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","HEMM Maintenance Trainee (Mechanical). 12-month hands-on role. Assist in the maintenance and repair of heavy mining equipment (dumpers,  shovels).","Diploma in Mechanical/Automobile Engineering or ITI (Mechanic). Must meet PMIS age and income criteria.","Sambalpur,  Odisha"
